cycle,type_charge,type_discharge,voltage_mean,voltage_min,voltage_max,current_mean,temperature_mean,time_max,estimated_soc
1,1,0,4.187419504014827,3.479393559379272,4.2099486995035615,0.6434546691871927,25.32407901830568,7597.875,100.0
2,0,1,3.5298286688693397,2.612467347907089,4.191491807505295,-1.8187019641679727,32.572328114029,3690.234,88.88888888888889
3,1,0,4.058826443375249,3.001950570776504,4.213016370444398,0.9490426727251161,26.635622628116085,10516.0,77.77777777777779
4,0,1,3.5373201277859714,2.587208728940726,4.189773213846608,-1.8175598506612867,32.72523522519307,3672.344,66.66666666666667
5,1,0,4.058138828852896,3.0358785775794024,4.212788046609961,0.9505286974657304,26.778175507896698,10484.547,55.55555555555556
6,0,1,3.5437367282719,2.6519168938437794,4.188186735991303,-1.8164865418840956,32.64286193755933,3651.641,44.44444444444444
7,1,0,4.058904789088504,3.0661450551857485,4.212924011950438,0.9523115206216739,26.70320405781683,10397.89,33.333333333333336
8,0,1,3.5436661072601456,2.592947964776547,4.188461118855572,-1.8255891938692528,32.51487646204882,3631.563,22.22222222222222
9,1,0,4.058329981003973,3.0637656606174013,4.2128738833616,0.9477284862498987,26.617004288392003,10495.203,11.111111111111116
10,0,1,3.5423432526672167,2.547419651124539,4.188298524761055,-1.8261139590277586,32.38234901543077,3629.172,0.0
11,1,0,4.059785107501149,3.0593224041262927,4.212763963219923,0.9326606943848299,26.51849450408942,10792.672,-11.111111111111116
12,0,1,3.5413347346347575,2.5209480504077413,4.188815807948604,-1.8168108743168803,32.43418218230641,3652.281,-22.222222222222232
13,1,0,4.058914241429766,3.0533599221041614,4.213176751734383,0.9322724824266048,26.620706323978894,10789.985,-33.33333333333333
14,0,1,3.5410250495075215,2.487927319492314,4.18839163793879,-1.816791144707133,32.480416444757985,3650.828,-44.44444444444444
15,1,0,4.053425643583468,3.048720950345317,4.212850577044761,0.9653291698755072,26.737918888901717,10127.562,-55.55555555555556
16,0,1,3.554133296801584,2.6652049047458775,4.188927891511958,-1.8443412120754061,32.41046186109587,3572.453,-66.66666666666667
17,1,0,4.055637707823975,3.0824222303522406,4.213141772335243,0.9616213808811537,26.74145703066146,10147.952999999994,-77.77777777777777
18,0,1,3.5529355991467955,2.6038584726333673,4.189029250882121,-1.853972745505648,32.3461408313,3550.594,-88.88888888888889
19,1,0,4.0551389874488235,3.075795646323062,4.212949842741421,0.9608152867945828,26.7021703105932,10162.094,-100.0
20,0,1,3.5512057319376997,2.552853984885676,4.189223427076418,-1.8535899338510957,32.27679750791685,3551.25,-111.11111111111111
21,1,0,4.054491573689291,3.06985284508505,4.2132271723869295,0.961954518108792,26.608132946993933,10119.375,-122.22222222222223
22,0,1,3.549292319740949,2.4724483018527317,4.188916055911241,-1.863380178294828,32.15709350345252,3530.25,-133.33333333333334
23,1,0,4.0526146919932,3.0612589860161115,4.212826399381091,0.9688176644385617,26.63314786563377,10013.235,-144.44444444444446
24,1,0,4.076087195502948,3.34157125606709,4.212863906558764,0.948479102987148,27.033644494333256,9586.875,-155.55555555555554
25,0,1,3.559759220648976,2.64956413267546,4.189876247266316,-1.872968810287894,32.36407129853099,3491.016,-166.66666666666666
26,1,0,4.054612747973269,3.092615790717664,4.212724851227894,0.9671176035785914,26.870618187745674,9952.359,-177.77777777777777
27,0,1,3.558081969139198,2.5724981777366227,4.189286794768804,-1.8826095043160833,32.3181954403762,3470.281,-188.88888888888889
28,1,0,4.059265909682025,3.082964486167869,4.213057848582499,0.9281364622466176,26.738987031481408,10758.031000000003,-200.0
29,0,1,3.555692244172496,2.5249886697730286,4.188837765892728,-1.882536787636365,32.15709029211502,3470.0,-211.11111111111111
30,1,0,4.053495431054621,3.0770823404741723,4.213191057068328,0.9687280220511734,26.692190227813647,9921.75,-222.22222222222223
31,0,1,3.562746818017503,2.694621861688723,4.189110301768517,-1.8817935155260215,32.04407000314609,3450.297,-233.33333333333334
32,1,0,4.057009589497505,3.1099815648289453,4.212768567166564,0.9622055340791629,26.563313470921162,10000.25,-244.44444444444446
33,0,1,3.5614521756489204,2.64010141737067,4.18921207304098,-1.8921861285036712,31.931593674911532,3429.407,-255.55555555555554
34,1,0,4.056509050138727,3.1054460082871422,4.21291099996523,0.9646896474341132,26.52595276450022,9936.031,-266.66666666666663
35,0,1,3.5603420474985823,2.5739035098380962,4.188899969428112,-1.9027629207037406,31.941655359029298,3409.484,-277.77777777777777
36,1,0,4.055991881873581,3.098521142673477,4.213175415157681,0.962272056961881,26.591676949772925,9989.532,-288.88888888888886
37,0,1,3.5591189041401865,2.4942396831720126,4.188779799856791,-1.9133470605822436,31.965008645476725,3390.422,-300.0
38,1,0,4.056478346718693,3.089171188226161,4.212972694840331,0.9537153567418096,26.645032205307864,10158.782,-311.1111111111111
39,0,1,3.557886771846508,2.4556793246645583,4.189272591516219,-1.9131602105481538,31.966241678512723,3390.281,-322.22222222222223
40,1,0,4.079851333950047,3.235784344365443,4.212806303346363,0.9411642330468534,25.663244609650953,10289.312,-333.3333333333333
41,0,0,,,,,,,-1233.3333333333335
42,0,1,3.5520375235511907,2.632142800798914,4.187614060563439,-1.8553455745575975,32.37143341978575,3591.734,-355.55555555555554
43,0,0,,,,,,,-1300.0
44,1,0,4.057903790387567,3.0683685778510936,4.213442172806784,0.9612867786553304,26.015018000119397,10283.077999999994,-377.77777777777777
45,0,0,,,,,,,-1366.6666666666665
46,0,1,3.5525668436897124,2.5027764692056795,4.1876287811083985,-1.8746995273150975,32.70024990461686,3552.297,-400.0
47,0,0,,,,,,,-1433.3333333333335
48,1,0,4.056383883924776,3.062344528295997,4.212832102518414,0.963212383695507,26.09181445728815,10281.39,-422.22222222222223
49,0,0,,,,,,,-1500.0
50,0,1,3.556794038327039,2.617507742871704,4.187447226312926,-1.873827212788385,32.32266411829938,3531.578,-444.44444444444446
51,0,0,,,,,,,-1566.6666666666667
52,1,0,4.058279288673889,3.0904138909445984,4.212770290752828,0.9697506680439039,25.709030057450274,10081.797,-466.6666666666667
53,0,0,,,,,,,-1633.3333333333333
54,0,1,3.5614100044534203,2.694074478000972,4.187344026387161,-1.883193546754683,31.98795810666763,3492.907,-488.8888888888889
55,0,0,,,,,,,-1700.0
56,1,0,4.065739463308087,3.1140130371184864,4.213276766831537,0.931056714150449,25.473631563964574,10797.328,-511.1111111111111
57,0,0,,,,,,,-1766.6666666666667
58,0,1,3.5566107947817986,2.6237674644021887,4.187438187636325,-1.873239184822504,31.894456524691385,3511.594,-533.3333333333333
59,0,0,,,,,,,-1833.3333333333333
60,1,0,4.0611501521821065,3.108464373403045,4.212690151499114,0.9648375330851495,25.427401199812184,10099.218,-555.5555555555555
61,0,0,,,,,,,-1900.0
62,0,1,3.5586742170266272,2.5010798299873738,4.18774138117799,-1.9139593751505897,31.78039681801023,3431.9370000000054,-577.7777777777777
63,0,0,,,,,,,-1966.6666666666667
64,1,0,4.060647477294544,3.099532736693632,4.212873191810286,0.9656310887431298,25.37095530984966,10078.719,-600.0
65,0,0,,,,,,,-2033.3333333333333
66,0,1,3.564103182686905,2.6849988185249796,4.188261122540052,-1.9030532722310995,31.688747146342205,3431.125,-622.2222222222223
